id,date,lat,lon,taxon,common_name,user
306653683,2025-08-15,38.578009045,-121.4588384923,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,rmyoshihara
306649142,2025-08-15,37.5068166667,-122.3050361111,Apis mellifera,Western Honey Bee,feliciabg
306628547,2025-08-15,37.2609708486,-122.4099413857,Apis mellifera,Western Honey Bee,muddphoto
306608984,2025-08-15,38.2257333333,-122.1231221667,Apis mellifera,Western Honey Bee,silveradojim
306550403,2025-08-15,37.87507,-122.293495,Apis mellifera,Western Honey Bee,deadpetvet
306544691,2025-08-15,37.7368508257,-121.8941155449,Bombus vosnesenskii,Yellow-faced Bumble Bee,wanderling
306541093,2025-08-14,37.45725002,-121.86939102,Apis mellifera,Western Honey Bee,truthseqr
306521714,2025-08-11,37.5788777667,-122.4126277667,Apis mellifera,Western Honey Bee,lesdit
306521712,2025-08-11,37.5789083333,-122.41260555,Apis mellifera,Western Honey Bee,lesdit
306401356,2025-08-14,38.578009045,-121.4588384923,Xylocopa sonorina,Valley Carpenter Bee,rmyoshihara
306383362,2025-05-02,37.3130616667,-122.0635695,Apis mellifera,Western Honey Bee,matthewdodder
306380868,2025-08-14,38.2837928022,-122.7335147664,Apis mellifera,Western Honey Bee,brieanne_f
306380039,2025-08-14,37.46418427,-121.8709775,Apis mellifera,Western Honey Bee,truthseqr
306380035,2025-08-14,37.46406202,-121.87030632,Apis mellifera,Western Honey Bee,truthseqr
306378767,2025-08-14,37.46470169,-121.87534148,Apis mellifera,Western Honey Bee,truthseqr
306378760,2025-08-14,37.4645058901,-121.87520892,Apis mellifera,Western Honey Bee,truthseqr
306378563,2025-08-12,37.8876433714,-122.6941973705,Bombus caliginosus,Fog-belt Bumble Bee,dclump
306358005,2025-08-14,37.8705716667,-122.2593466667,Apis mellifera,Western Honey Bee,zhitao_
306339197,2025-08-14,37.7223976087,-122.439193055,Apis mellifera,Western Honey Bee,kensanfran
306327677,2025-08-14,37.8900986723,-122.2774108072,Anthidium manicatum,European Woolcarder Bee,b1rb
306322187,2025-08-14,37.7596805556,-122.2278888889,Coelioxys rufitarsis,Red-footed Cuckoo Leafcutter,boo-bee
306318963,2025-08-11,37.7685639722,-122.4694369722,Apis mellifera,Western Honey Bee,hemo_noises
306308559,2025-08-14,37.4392600841,-122.1800075099,Apis mellifera,Western Honey Bee,zhenx
306292308,2025-06-19,37.284078443,-121.9671295661,Xylocopa sonorina,Valley Carpenter Bee,doumori
306291846,2025-08-14,37.2452785442,-121.9748626591,Apis mellifera,Western Honey Bee,marikolois
306165807,2025-08-13,38.1826008628,-121.3209383311,Apis mellifera,Western Honey Bee,nicholasveal
306161491,2025-08-13,37.8221549027,-122.1333140779,Apis mellifera,Western Honey Bee,hfabian
306159214,2025-08-13,37.9732121,-122.4838887,Apis mellifera,Western Honey Bee,steve760
306148138,2025-08-13,38.226578,-122.034854,Apis mellifera,Western Honey Bee,kdff
306141700,2025-08-13,38.2953641053,-122.6774086322,Apis mellifera,Western Honey Bee,brieanne_f
306134104,2025-08-13,37.2112847151,-122.144291441,Apis mellifera,Western Honey Bee,trollingchef
306128404,2025-08-13,38.2517283333,-121.9825966667,Apis mellifera,Western Honey Bee,silveradojim
306128180,2025-08-13,37.086477263,-122.0644742944,Apis mellifera,Western Honey Bee,muddphoto
306093830,2025-08-12,37.7599,-122.2300416667,Agapostemon subtilior,Fine striped sweat bee,hellabeenerd
306079161,2025-08-13,37.4691848361,-122.3099740142,Apis mellifera,Western Honey Bee,tintof
306037611,2025-08-09,37.747485274,-122.4123821106,Apis mellifera,Western Honey Bee,lorieanes
