common_name,count
Western Honey Bee,1592
Black-tailed Bumble Bee,406
California Bumble Bee,332
Foothill Carpenter Bee,310
Yellow-faced Bumble Bee,299
Valley Carpenter Bee,262
European Woolcarder Bee,154
Wide-striped Sweat Bee,69
Horse-fly Carpenter Bee,62
Red-belted Bumble Bee,49
Ligated Furrow Bee,46
Tripartite Sweat Bee,42
Van Dyke's Bumble Bee,32
Fine striped sweat bee,31
Crotch's Bumble Bee,26
Kincaid's Sweat Bee,12
Bindweed Turret Bee,11
Western Leafcutter Bee,8
Titus's Sweat Bee,8
Oblong Woolcarder Bee,8
Golden-haired Miner Bee,8
Fog-belt Bumble Bee,7
Prong-faced Slender-Mason,7
Sitka Bumble Bee,7
California Digger Bee,7
Urbane Digger Bee,7
Pruinose Squash Bee,6
Bumblebee-like Digger Bee,5
Spotted Woolcarder,4
Green Small-Mason,3
Western Carpenter Bee,3
Emerina Stingless Bee,3
Northern Rotund-Resin Bee,2
Bumble Bees,2
Clarkia Evening Bee,2
California Digger-cuckoo Bee,2
Pacific Woolcarder,2
Red-footed Cuckoo Leafcutter,2
White-haired Monk Longhorn,2
Red-tailed Micro-Shortface,2
Illustrated Woolcarder Bee,2
Yellow-fronted Bumble Bee,2
Alfalfa Leafcutter Bee,1
Suave Nomad Bee,1
White-fronted Small-Mason,1
Western Oblique Longhorn,1
Oval-headed Sweat Bee,1
Common Longhorn Bee,1
California Rotund-Resin Bee,1
Sunflower Chimney Bee,1
Punctate Masked Bee,1
Compact Cellophane-Cuckoo,1
Peacock Sweat Bee,1
Masked Bees,1
Colorado Mason,1
Wide-striped Painted-Dark bee,1
Black-and-gray Leafcutter Bee,1
California Fairy Bee,1
Blue Orchard Bee,1
Tansy Mustard Sweat Bee,1
Smooth-faced Miner Bee,1
California Poppy Fairy Bee,1
